seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
u4759809ctg_len-17381_circular-yes_depth-7-7-4_mult-1.00	17411	DTR	NA	23	11	0.9994	0.0005	1	2.8324	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3003787ctg_len-21466_circular-yes_depth-14-7-1_mult-1.00	21496	DTR	NA	43	11	0.9994	0.0005	1	4.1461	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4645842ctg_len-9752_circular-yes_depth-16-16-13_mult-1.00	9782	DTR	NA	11	11	0.9994	0.0005	1	2.6538	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3479896ctg_len-26097_circular-yes_depth-44-28-1_mult-1.00	26127	DTR	NA	41	11	0.9994	0.0005	0	5.4898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2505461ctg_len-6973_circular-yes_depth-39-32-3_mult-1.00	7003	DTR	NA	9	11	0.9994	0.0005	1	0.9967	Viruses;Monodnaviria;Loebvirae;Hofneiviricota;Faserviricetes;Tubulavirales;Inoviridae
u761018ctg_len-18614_circular-yes_depth-16-2-1_mult-1.00	18644	DTR	NA	29	11	0.9994	0.0005	0	2.7869	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4356498ctg_len-22209_circular-yes_depth-25-8-1_mult-1.00	22239	DTR	NA	42	11	0.9994	0.0005	0	2.9590	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4339598ctg_len-2227476_circular-yes_depth-52-47-46_mult-1.00|provirus_844677_925425	80749	Provirus	844677-925425	78	11	0.9994	0.0005	15	57.2143	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4187009ctg_len-6643_circular-yes_depth-34-4-1_mult-1.00	6673	DTR	NA	9	11	0.9994	0.0006	1	2.7079	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4679813ctg_len-9499_circular-yes_depth-35-8-1_mult-1.00	9529	DTR	NA	12	11	0.9994	0.0006	1	2.6097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u234991ctg_len-3006764_circular-yes_depth-11-11-7_mult-1.00|provirus_414662_471231	56570	Provirus	414662-471231	67	11	0.9994	0.0006	16	57.4834	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3485750ctg_len-25442_circular-yes_depth-18-13-11_mult-1.00	25472	DTR	NA	38	11	0.9994	0.0006	0	4.4879	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u112693ctg_len-5450262_circular-yes_depth-36-36-34_mult-1.00|provirus_3890412_3944125	53714	Provirus	3890412-3944125	62	11	0.9994	0.0006	10	21.8005	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u995216ctg_len-102296_circular-yes_depth-67-62-17_mult-1.00	102326	DTR	NA	173	11	0.9994	0.0006	0	13.5665	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3529280ctg_len-2212616_circular-yes_depth-6-6-5_mult-1.00|provirus_2142599_2198630	56032	Provirus	2142599-2198630	64	11	0.9994	0.0006	17	59.6985	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3115813ctg_len-21973_circular-yes_depth-23-4-4_mult-1.00	22003	DTR	NA	39	11	0.9994	0.0006	0	2.7313	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4492559ctg_len-25309_circular-yes_depth-73-6-1_mult-1.00	25339	DTR	NA	42	11	0.9994	0.0006	0	6.1035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4015437ctg_len-22749_circular-yes_depth-9-7-7_mult-1.00	22779	DTR	NA	36	11	0.9994	0.0006	0	1.5289	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4241487ctg_len-21979_circular-yes_depth-15-2-1_mult-1.00	22009	DTR	NA	34	11	0.9994	0.0006	0	4.9236	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2440857ctg_len-25882_circular-yes_depth-113-9-7_mult-1.00	25912	DTR	NA	40	11	0.9994	0.0006	0	4.8059	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u112693ctg_len-5450262_circular-yes_depth-36-36-34_mult-1.00|provirus_223292_288712	65421	Provirus	223292-288712	69	11	0.9994	0.0006	15	60.9153	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u459400ctg_len-2436717_circular-yes_depth-30-20-14_mult-1.00|provirus_913827_965254	51428	Provirus	913827-965254	67	11	0.9994	0.0006	7	27.6779	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3749543ctg_len-26002_circular-yes_depth-21-18-17_mult-1.00	26032	DTR	NA	40	11	0.9994	0.0006	0	4.5020	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4207047ctg_len-23819_circular-yes_depth-18-3-2_mult-1.00	23849	DTR	NA	37	11	0.9994	0.0006	0	4.1404	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4190689ctg_len-26764_circular-yes_depth-52-2-1_mult-1.00	26794	DTR	NA	44	11	0.9994	0.0006	0	4.6765	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u653186ctg_len-21858_circular-yes_depth-112-77-9_mult-1.00	21888	DTR	NA	40	11	0.9994	0.0006	0	2.7313	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4557962ctg_len-23519_circular-yes_depth-18-7-1_mult-1.00	23549	DTR	NA	33	11	0.9994	0.0006	0	2.5366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4574536ctg_len-22966_circular-yes_depth-27-16-2_mult-1.00	22996	DTR	NA	38	11	0.9994	0.0006	0	4.0794	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2389976ctg_len-27056_circular-yes_depth-15-4-1_mult-1.00	27086	DTR	NA	38	11	0.9994	0.0006	0	2.6725	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2845143ctg_len-25340_circular-yes_depth-20-12-5_mult-1.00	25370	DTR	NA	37	11	0.9994	0.0006	0	4.2517	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3972141ctg_len-27320_circular-yes_depth-8-7-5_mult-1.00	27350	DTR	NA	47	11	0.9994	0.0006	0	7.1133	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2407831ctg_len-24267_circular-yes_depth-54-35-3_mult-1.00	24297	DTR	NA	36	11	0.9994	0.0006	0	4.8059	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u283166ctg_len-41444_circular-yes_depth-7-7-5_mult-1.00	41474	DTR	NA	55	11	0.9994	0.0006	3	14.7379	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4250297ctg_len-26488_circular-yes_depth-29-24-1_mult-1.00	26518	DTR	NA	49	11	0.9994	0.0006	0	4.1284	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2968098ctg_len-24652_circular-yes_depth-13-9-5_mult-1.00	24682	DTR	NA	38	11	0.9994	0.0006	0	4.2549	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4681550ctg_len-24375_circular-yes_depth-28-9-2_mult-1.00	24405	DTR	NA	39	11	0.9994	0.0006	0	4.7656	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1651812ctg_len-9370_circular-yes_depth-26-21-5_mult-1.00	9400	DTR	NA	12	11	0.9994	0.0006	1	2.6097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u509651ctg_len-26425_circular-yes_depth-7-6-5_mult-1.00	26455	DTR	NA	38	11	0.9994	0.0006	0	5.8009	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4457694ctg_len-20116_circular-yes_depth-7-7-7_mult-1.00	20146	DTR	NA	23	11	0.9993	0.0006	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1719025ctg_len-23412_circular-yes_depth-68-13-5_mult-1.00	23442	DTR	NA	44	11	0.9993	0.0006	0	2.9590	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2268294ctg_len-21033_circular-yes_depth-16-10-9_mult-1.00	21063	DTR	NA	35	11	0.9993	0.0006	0	4.3297	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1187722ctg_len-23741_circular-yes_depth-57-35-1_mult-1.00	23771	DTR	NA	39	11	0.9993	0.0006	0	4.2720	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2034411ctg_len-27771_circular-yes_depth-9-8-7_mult-1.00	27801	DTR	NA	53	11	0.9993	0.0006	0	11.3310	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4242916ctg_len-23496_circular-yes_depth-15-14-4_mult-1.00	23526	DTR	NA	38	11	0.9993	0.0006	0	2.7837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u112693ctg_len-5450262_circular-yes_depth-36-36-34_mult-1.00|provirus_2528301_2593622	65322	Provirus	2528301-2593622	75	11	0.9993	0.0006	11	23.9447	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3351310ctg_len-24120_circular-yes_depth-16-8-3_mult-1.00	24150	DTR	NA	38	11	0.9993	0.0006	0	2.7837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3494233ctg_len-57152_circular-yes_depth-14-10-7_mult-1.00	57182	DTR	NA	77	11	0.9993	0.0006	0	11.2727	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u812807ctg_len-19786_circular-yes_depth-10-10-7_mult-1.00	19816	DTR	NA	28	11	0.9993	0.0006	0	2.7869	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u95827ctg_len-23388_circular-yes_depth-7-6-4_mult-1.00	23418	DTR	NA	34	11	0.9993	0.0006	0	3.0054	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u783622ctg_len-23277_circular-yes_depth-28-6-1_mult-1.00	23307	DTR	NA	43	11	0.9993	0.0006	0	2.5537	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2681951ctg_len-9427_circular-yes_depth-30-26-4_mult-1.00	9457	DTR	NA	13	11	0.9993	0.0006	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2696594ctg_len-21121_circular-yes_depth-42-12-1_mult-1.00	21151	DTR	NA	34	11	0.9993	0.0006	0	2.7869	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2101299ctg_len-21714_circular-yes_depth-20-1-1_mult-1.00	21744	DTR	NA	32	11	0.9993	0.0006	0	2.9731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
u4560076ctg_len-24793_circular-yes_depth-15-8-7_mult-1.00	24823	DTR	NA	40	11	0.9993	0.0006	0	2.7837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4455844ctg_len-23038_circular-yes_depth-7-6-5_mult-1.00	23068	DTR	NA	34	11	0.9993	0.0006	0	1.0686	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3358026ctg_len-26080_circular-yes_depth-10-10-9_mult-1.00	26110	DTR	NA	36	11	0.9993	0.0006	0	3.0189	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3548675ctg_len-24916_circular-yes_depth-18-1-1_mult-1.00	24946	DTR	NA	41	11	0.9993	0.0006	0	5.5696	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1647893ctg_len-24481_circular-yes_depth-10-6-1_mult-1.00	24511	DTR	NA	36	11	0.9993	0.0006	0	2.8146	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1972064ctg_len-17118_circular-yes_depth-70-63-25_mult-1.00	17148	DTR	NA	21	11	0.9993	0.0006	0	0.0000	Unclassified
u3076885ctg_len-9448_circular-yes_depth-31-25-23_mult-1.00	9478	DTR	NA	18	11	0.9993	0.0006	0	2.6210	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u252740ctg_len-24611_circular-yes_depth-100-83-9_mult-1.00	24641	DTR	NA	45	11	0.9993	0.0006	0	2.7637	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4506661ctg_len-25435_circular-yes_depth-28-9-8_mult-1.00	25465	DTR	NA	38	11	0.9993	0.0006	0	4.4879	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4203202ctg_len-20379_circular-yes_depth-14-10-1_mult-1.00	20409	DTR	NA	33	11	0.9993	0.0006	0	1.2548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
u4692733ctg_len-25039_circular-yes_depth-58-1-1_mult-1.00	25069	DTR	NA	37	11	0.9993	0.0006	0	2.7837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3166035ctg_len-9008_circular-yes_depth-34-32-18_mult-1.00	9038	DTR	NA	10	11	0.9993	0.0006	1	2.6097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4296682ctg_len-23233_circular-yes_depth-25-21-13_mult-1.00	23263	DTR	NA	38	11	0.9993	0.0006	0	2.5524	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2807591ctg_len-22075_circular-yes_depth-10-8-6_mult-1.00	22105	DTR	NA	33	11	0.9993	0.0006	0	1.6624	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4461608ctg_len-24914_circular-yes_depth-15-8-3_mult-1.00	24944	DTR	NA	39	11	0.9993	0.0006	0	4.2566	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1381050ctg_len-21858_circular-yes_depth-143-100-12_mult-1.00	21888	DTR	NA	39	11	0.9993	0.0006	0	2.7313	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4243007ctg_len-24589_circular-yes_depth-20-10-2_mult-1.00	24619	DTR	NA	39	11	0.9993	0.0006	0	4.2517	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4574639ctg_len-1279402_circular-yes_depth-36-26-8_mult-1.00|provirus_119868_172772	52905	Provirus	119868-172772	57	11	0.9992	0.0006	7	13.8680	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2502563ctg_len-8867_circular-yes_depth-24-6-1_mult-1.00	8897	DTR	NA	14	11	0.9992	0.0006	1	3.5483	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1096993ctg_len-2731953_circular-yes_depth-15-13-9_mult-1.00|provirus_1518959_1549649	30691	Provirus	1518959-1549649	33	11	0.9992	0.0006	3	22.4471	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3209291ctg_len-24274_circular-yes_depth-20-8-6_mult-1.00	24304	DTR	NA	38	11	0.9992	0.0006	0	2.5366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2074088ctg_len-21405_circular-yes_depth-11-7-1_mult-1.00	21435	DTR	NA	38	11	0.9992	0.0006	0	1.2548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
u704249ctg_len-19786_circular-yes_depth-27-10-1_mult-1.00	19816	DTR	NA	27	11	0.9992	0.0006	0	2.7869	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3255255ctg_len-1012489_circular-yes_depth-4-4-3_mult-1.00|provirus_556960_620211	63252	Provirus	556960-620211	52	11	0.9992	0.0006	1	6.4811	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4639792ctg_len-20494_circular-yes_depth-24-4-2_mult-1.00	20524	DTR	NA	33	11	0.9992	0.0006	0	2.7544	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
u3518458ctg_len-23936_circular-yes_depth-15-15-6_mult-1.00	23966	DTR	NA	36	11	0.9992	0.0006	0	3.4085	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3716492ctg_len-22530_circular-yes_depth-8-7-7_mult-1.00	22560	DTR	NA	35	11	0.9992	0.0006	0	1.5289	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2819530ctg_len-24722_circular-yes_depth-32-27-24_mult-1.00	24752	DTR	NA	35	11	0.9992	0.0006	0	3.0054	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4611490ctg_len-24120_circular-yes_depth-45-6-1_mult-1.00	24150	DTR	NA	36	11	0.9992	0.0006	0	2.5366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4184082ctg_len-24753_circular-yes_depth-32-1-1_mult-1.00	24783	DTR	NA	41	11	0.9992	0.0006	0	4.1436	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u263673ctg_len-23502_circular-yes_depth-12-9-3_mult-1.00	23532	DTR	NA	37	11	0.9992	0.0006	0	1.5257	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
u3156053ctg_len-23103_circular-yes_depth-14-5-1_mult-1.00	23133	DTR	NA	40	11	0.9992	0.0006	0	4.2720	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1783631ctg_len-18846_circular-yes_depth-10-10-10_mult-1.00	18876	DTR	NA	22	11	0.9992	0.0006	0	1.7969	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u820583ctg_len-23484_circular-yes_depth-31-19-13_mult-1.00	23514	DTR	NA	35	11	0.9992	0.0006	0	1.2871	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3885891ctg_len-23061_circular-yes_depth-48-46-46_mult-1.00	23091	DTR	NA	34	11	0.9992	0.0006	0	1.5289	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2124519ctg_len-25792_circular-yes_depth-15-15-7_mult-1.00	25822	DTR	NA	44	11	0.9992	0.0006	0	1.0548	Unclassified
u4246430ctg_len-24212_circular-yes_depth-35-32-30_mult-1.00	24242	DTR	NA	34	11	0.9992	0.0006	0	2.6725	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4291916ctg_len-21391_circular-yes_depth-13-8-5_mult-1.00	21421	DTR	NA	36	11	0.9992	0.0006	0	2.7227	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1776876ctg_len-269916_circular-yes_depth-29-25-18_mult-1.00|provirus_90757_269905	179149	Provirus	90757-269905	193	11	0.9992	0.0006	12	57.4508	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3641238ctg_len-23806_circular-yes_depth-12-6-1_mult-1.00	23836	DTR	NA	36	11	0.9991	0.0006	0	1.0686	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4129230ctg_len-23790_circular-yes_depth-23-5-2_mult-1.00	23820	DTR	NA	38	11	0.9991	0.0006	0	1.2580	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3586912ctg_len-20356_circular-yes_depth-24-13-6_mult-1.00	20386	DTR	NA	32	11	0.9991	0.0006	0	1.0361	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
u1096993ctg_len-2731953_circular-yes_depth-15-13-9_mult-1.00|provirus_1692191_1913507	221317	Provirus	1692191-1913507	274	11	0.9991	0.0006	4	56.0682	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u112693ctg_len-5450262_circular-yes_depth-36-36-34_mult-1.00|provirus_5110280_5139473	29194	Provirus	5110280-5139473	32	11	0.9991	0.0006	2	19.2087	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u571505ctg_len-120573_circular-yes_depth-25-16-14_mult-1.00|provirus_43589_93940	50352	Provirus	43589-93940	62	11	0.9991	0.0006	13	48.1370	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4627243ctg_len-21817_circular-yes_depth-15-5-4_mult-1.00	21847	DTR	NA	33	11	0.9990	0.0006	0	2.7837	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3472060ctg_len-24588_circular-yes_depth-49-10-6_mult-1.00	24618	DTR	NA	41	11	0.9990	0.0006	0	2.9590	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4340471ctg_len-25787_circular-yes_depth-15-15-4_mult-1.00	25817	DTR	NA	43	11	0.9990	0.0006	0	1.0548	Unclassified
u4108550ctg_len-24610_circular-yes_depth-89-10-1_mult-1.00	24640	DTR	NA	44	11	0.9989	0.0006	0	2.7637	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1384209ctg_len-23436_circular-yes_depth-12-9-7_mult-1.00	23466	DTR	NA	40	11	0.9989	0.0006	0	3.5706	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1707905ctg_len-22723_circular-yes_depth-37-20-3_mult-1.00	22753	DTR	NA	33	11	0.9989	0.0006	0	1.0686	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4379248ctg_len-11832_circular-yes_depth-15-15-15_mult-1.00	11862	DTR	NA	28	11	0.9988	0.0006	0	3.4366	Unclassified
u550491ctg_len-2860490_circular-yes_depth-14-14-14_mult-1.00|provirus_2272460_2287335	14876	Provirus	2272460-2287335	21	11	0.9988	0.0006	0	8.4619	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3921882ctg_len-11040_circular-yes_depth-49-11-1_mult-1.00	11070	DTR	NA	17	11	0.9988	0.0006	1	3.5483	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3678773ctg_len-20945_circular-yes_depth-9-7-1_mult-1.00	20975	DTR	NA	44	11	0.9987	0.0006	0	0.0000	Unclassified
u3627479ctg_len-8910_circular-yes_depth-14-11-1_mult-1.00	8940	DTR	NA	12	11	0.9986	0.0006	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3314483ctg_len-32240_circular-yes_depth-121-121-51_mult-2.00	32270	DTR	NA	60	11	0.9985	0.0006	0	8.9277	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4456701ctg_len-284732_circular-yes_depth-63-47-9_mult-1.00|provirus_106691_281302	174612	Provirus	106691-281302	201	11	0.9985	0.0006	1	22.6996	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2886813ctg_len-22989_circular-yes_depth-34-6-1_mult-1.00	23019	DTR	NA	37	11	0.9984	0.0006	0	2.8437	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4583327ctg_len-23432_circular-yes_depth-19-16-15_mult-1.00	23462	DTR	NA	30	11	0.9984	0.0007	0	1.0686	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4322758ctg_len-9338_circular-yes_depth-10-10-8_mult-1.00	9368	DTR	NA	13	11	0.9984	0.0007	0	1.7183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u616413ctg_len-10935_circular-yes_depth-37-37-37_mult-1.00	10965	DTR	NA	13	11	0.9983	0.0007	0	2.2668	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1693132ctg_len-208226_circular-yes_depth-204-137-24_mult-1.00|provirus_11327_208255	196929	Provirus	11327-208255	233	11	0.9982	0.0007	2	26.8989	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3500980ctg_len-13527_circular-yes_depth-25-25-2_mult-1.00	13557	DTR	NA	31	11	0.9982	0.0007	1	1.2306	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4284548ctg_len-25571_circular-yes_depth-19-8-1_mult-1.00	25601	DTR	NA	45	11	0.9982	0.0007	0	3.1476	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u33035ctg_len-16138_circular-yes_depth-336-336-91_mult-1.00	16168	DTR	NA	31	11	0.9981	0.0007	0	4.4639	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2450694ctg_len-208026_circular-yes_depth-23-21-8_mult-1.00|provirus_38493_207822	169330	Provirus	38493-207822	176	11	0.9975	0.0007	0	15.8631	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3715764ctg_len-24292_circular-yes_depth-11-7-3_mult-1.00	24322	DTR	NA	38	11	0.9974	0.0007	0	3.0473	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2508354ctg_len-16132_circular-yes_depth-2685-2420-17_mult-1.00	16162	DTR	NA	31	11	0.9971	0.0007	0	4.4639	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4555911ctg_len-22987_circular-yes_depth-105-23-9_mult-1.00	23017	DTR	NA	37	11	0.9967	0.0007	0	2.8437	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u2679164ctg_len-17403_circular-yes_depth-20-8-1_mult-1.00	17433	DTR	NA	31	11	0.9966	0.0007	1	1.2306	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u3566535ctg_len-16620_circular-yes_depth-110-107-7_mult-1.00	16650	DTR	NA	21	11	0.9954	0.0007	0	0.0000	Unclassified
u4288157ctg_len-20740_circular-yes_depth-23-1-1_mult-1.00	20770	DTR	NA	37	11	0.9943	0.0008	1	0.7075	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1216493ctg_len-13449_circular-yes_depth-25-20-2_mult-1.00	13479	DTR	NA	30	11	0.9940	0.0008	1	1.2306	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u1475979ctg_len-2964427_circular-yes_depth-79-68-7_mult-1.00|provirus_35923_71750	35828	Provirus	35923-71750	46	11	0.9939	0.0008	12	41.5186	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
u4716580ctg_len-13524_circular-yes_depth-26-23-5_mult-1.00	13554	DTR	NA	31	11	0.9936	0.0008	1	1.2306	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
